disease,information,recommendation,medicine,symptoms 
Hypertension ,Hypertension is a condition where the force of blood against the artery walls is consistently too high. It can lead to serious health problems over time.,"Maintaining a healthy lifestyle with balanced diet, regular exercise, and stress management is crucial. Regular monitoring of blood pressure is recommended.","Common medications include ACE inhibitors, beta-blockers, and diuretics. Consult a healthcare provider for appropriate treatment.","Often asymptomatic, but severe cases may cause headaches, shortness of breath, or nosebleeds."
Anemia,"Anemia occurs when there's a deficiency of red blood cells or hemoglobin in the blood, reducing its ability to carry oxygen to tissues","Consuming iron-rich foods like leafy greens, meats, and fortified cereals can help manage mild cases. Severe anemia requires medical attention for proper diagnosis and treatment.",Iron supplements are commonly prescribed for iron-deficiency anemia. Vitamin B12 or folic acid supplements may be necessary for other types,"Common symptoms include fatigue, weakness, pale skin, and shortness of breath."
Urinary Tract Infection ,"A UTI is an infection in any part of the urinary system, including the kidneys, bladder, or urethra, typically caused by bacteria","Drinking plenty of water, urinating frequently, and practicing good hygiene are preventive measures. Prompt treatment with antibiotics is necessary to prevent complications.",Antibiotics such as nitrofurantoin or trimethoprim-sulfamethoxazole are commonly prescribed. Pain relievers may also be used for symptomatic relief.,"Symptoms often include a strong, persistent urge to urinate, burning sensation during urination, cloudy or bloody urine, and pelvic pain in women"
Migraine,"A migraine is a neurological condition characterized by intense headaches often accompanied by nausea, vomiting, and sensitivity to light and sound","Managing triggers like stress, certain foods, and irregular sleep patterns can help prevent migraines. Treatment options include medications to relieve symptoms and lifestyle adjustments.",Medications for acute migraines include triptans and NSAIDs. Preventive medications such as beta-blockers or antidepressants may be prescribed for frequent migraines.,"Symptoms can include throbbing pain on one side of the head, visual disturbances (aura), and heightened sensitivity to stimuli."
Depression,"Depression is a mood disorder that causes persistent feelings of sadness and loss of interest in daily activities. It can affect how you feel, think, and handle daily activities.","Treatment may include therapy, medication, or a combination of both. Lifestyle changes such as regular exercise and a healthy diet can also be beneficial.",Antidepressants like SSRIs or SNRIs are commonly prescribed. It's important to consult a healthcare provider for proper diagnosis and treatment.,"Symptoms include feelings of sadness, hopelessness, loss of interest in activities once enjoyed, changes in appetite or weight, and trouble sleeping or sleeping too much."
Anxiety Disorders,Anxiety disorders involve excessive worry or fear that significantly impacts daily life. They are among the most common mental health disorders,Treatment options include therapy (such as cognitive-behavioral therapy) and medications (like SSRIs or benzodiazepines). Lifestyle changes and stress management techniques are also beneficial.,Medications like antidepressants or anti-anxiety drugs may be prescribed based on the type and severity of anxiety disorder.,"Symptoms can include excessive worrying, restlessness, fatigue, difficulty concentrating, and physical symptoms such as increased heart rate or sweating."
Chickenpox,Chickenpox is a highly contagious viral infection caused by the varicella-zoster virus. It causes an itchy rash with red spots and fluid-filled blisters,Vaccination (varicella vaccine) is the best way to prevent chickenpox. Treatment focuses on relieving symptoms with antiviral medications and over-the-counter remedies for itching.,"Antiviral drugs like acyclovir may be prescribed, especially for high-risk individuals or severe cases.","Symptoms include an itchy rash that usually starts on the face and chest, fever, and fatigue"
Measles,"Measles is a highly contagious viral infection that spreads through respiratory droplets. It causes a red, blotchy rash and other flu-like symptoms",Vaccination (MMR vaccine) is highly effective in preventing measles. Treatment focuses on managing symptoms and preventing complications.,"There is no specific antiviral treatment for measles. Supportive care includes rest, fluids, and over-the-counter medications for fever and discomfort.","Symptoms include a high fever, cough, runny nose, red eyes, and a rash that starts on the face and spreads downward."
Mononucleosis,"Mononucleosis, often called mono, is a viral infection caused by the Epstein-Barr virus. It's commonly transmitted through saliva and is sometimes called the ""kissing disease.""","Rest, hydration, and over-the-counter pain relievers are recommended. Avoiding close contact, especially kissing, can help prevent spreading the virus.","There is no specific antiviral treatment for mono. Treatment focuses on managing symptoms like fever, sore throat, and swollen lymph nodes.","Symptoms include extreme fatigue, sore throat, fever, swollen lymph nodes in the neck and armpits, and sometimes a rash."
Tonsillitis,"Tonsillitis is inflammation of the tonsils, typically caused by viral or bacterial infections. It can cause sore throat, difficulty swallowing, and fever.","Rest, fluids, and over-the-counter pain relievers like acetaminophen or ibuprofen can help manage symptoms. Antibiotics may be prescribed for bacterial tonsillitis.",Antibiotics such as penicillin or amoxicillin are prescribed for bacterial tonsillitis. Antiviral medications are used for viral tonsillitis if necessary.,"Symptoms include sore throat, swollen tonsils, difficulty swallowing, and sometimes white or yellow patches on the tonsils."
Sinusitis,Inflammation or swelling of the tissue lining the sinuses.,Use nasal decongestants and maintain hydration.,"Decongestants, antibiotics if bacterial","Nasal congestion, headache, facial pain"
Appendicitis,"Inflammation of the appendix, which can cause severe abdominal pain.",Seek immediate medical attention; surgery may be needed.,"Pain relievers, antibiotics, surgery","Lower right abdominal pain, fever, nausea"
Chronic Obstructive Pulmonary Disease ,A chronic inflammatory lung disease causing obstructed airflow from the lungs.,"Quit smoking, use inhalers, and pulmonary rehabilitation.","Bronchodilators, steroids, oxygen therapy","Shortness of breath, wheezing, chronic cough"
Heart Disease,"Refers to various heart conditions, including coronary artery disease and heart attacks.","Adopt a heart-healthy diet, exercise, and medication.","Beta-blockers, ACE inhibitors, statins","Chest pain, shortness of breath, fatigue"
Stroke,Occurs when blood flow to an area of the brain is interrupted or reduced.,Immediate medical intervention is critical.,"Antithrombotics, clot busters, surgery","Sudden numbness, confusion, trouble speaking"
Arthritis,"Inflammation of one or more joints, causing pain and stiffness.",Use anti-inflammatory medications and physical therapy.,"NSAIDs, corticosteroids, DMARDs","Joint pain, swelling, reduced range of motion"
Eczema,A condition that makes the skin red and itchy.,Apply moisturizers and topical steroids.,"Topical corticosteroids, antihistamines","Itchy, red, and inflamed skin"
Psoriasis,"A skin disease that causes red, itchy scaly patches.",Use topical treatments and phototherapy.,"Topical steroids, biologics, UV therapy","Red patches of skin covered with thick, silvery scales"
Hypothyroidism,A condition in which the thyroid gland doesn't produce enough thyroid hormone.,Take thyroid hormone replacement.,Levothyroxine,"Fatigue, weight gain, cold intolerance"
Hyperthyroidism,A condition in which the thyroid gland produces too much thyroid hormone.,Use antithyroid medications or radioactive iodine.,"Methimazole, propylthiouracil","Weight loss, rapid heartbeat, nervousness"
Tuberculosis,A serious infectious disease that mainly affects the lungs.,Long-term antibiotic treatment.,"Isoniazid, rifampin, ethambutol","Persistent cough, chest pain, coughing up blood"
Hepatitis A,A highly contagious liver infection caused by the hepatitis A virus.,Vaccination and maintaining good hygiene.,"No specific medication, supportive care","Fatigue, nausea, abdominal pain, jaundice"
Hepatitis B,A serious liver infection caused by the hepatitis B virus.,Vaccination and antiviral medications.,"Tenofovir, entecavir","Abdominal pain, dark urine, jaundice"
Hepatitis C,A liver infection caused by the hepatitis C virus.,Antiviral medications to clear the virus from the body.,"Sofosbuvir, ledipasvir","Fatigue, joint pain, jaundice"
Celiac Disease,An autoimmune disorder where ingestion of gluten leads to damage in the small intestine.,Strict gluten-free diet.,"No specific medication, dietary management","Diarrhea, bloating, weight loss, fatigue"
Crohn’s Disease,A type of inflammatory bowel disease (IBD) that can affect any part of the gastrointestinal tract.,Anti-inflammatory medications and surgery if necessary.,"Aminosalicylates, corticosteroids","Abdominal pain, diarrhea, weight loss"
Irritable Bowel Syndrome,A common disorder affecting the large intestine.,"Dietary changes, stress management, and medication.","Fiber supplements, laxatives","Abdominal pain, bloating, constipation, diarrhea"
Multiple Sclerosis ,A disease in which the immune system eats away at the protective covering of nerves.,Immunotherapy and physical therapy.,"Interferons, glatiramer acetate","Fatigue, difficulty walking, numbness"
Parkinson’s Disease,A progressive nervous system disorder that affects movement.,"Medication to manage symptoms, physical therapy.","Levodopa, dopamine agonists","Tremors, stiffness, slow movement"
Alzheimer’s Disease,A progressive disease that destroys memory and other important mental functions.,Medications to temporarily improve symptoms.,"Donepezil, memantine","Memory loss, confusion, difficulty with language"
Schizophrenia,"A chronic brain disorder that affects a person's ability to think, feel, and behave clearly.",Antipsychotic medications and therapy.,"Risperidone, olanzapine, clozapine","Hallucinations, delusions, disorganized thinking"
Bipolar Disorder,A mental health condition causing extreme mood swings including emotional highs and lows.,Mood stabilizers and psychotherapy.,"Lithium, valproate, lamotrigine","Mood swings, depression, hyperactivity"
Obsessive-Compulsive Disorder,"A disorder characterized by unwanted, recurring thoughts and behaviors.",Cognitive-behavioral therapy and medications.,"SSRIs like fluoxetine, sertraline","Obsessive thoughts, compulsive behaviors"
Post-Traumatic Stress Disorder,A mental health condition triggered by a terrifying event.,Therapy and medication.,"SSRIs, Prazosin","Flashbacks, severe anxiety, uncontrollable thoughts"
Lyme Disease,"An infectious disease caused by the Borrelia bacterium, spread by ticks.",Antibiotic treatment.,"Doxycycline, amoxicillin","Fever, headache, fatigue, skin rash"
Chlamydia,A common sexually transmitted infection caused by bacteria.,Antibiotic treatment.,"Azithromycin, doxycycline","Painful urination, genital discharge"
Gonorrhea,"A sexually transmitted bacterial infection that, if untreated, may cause infertility.",Antibiotic treatment.,"Ceftriaxone, azithromycin","Painful urination, genital discharge"
Syphilis,A sexually transmitted infection caused by the bacterium Treponema pallidum.,"Antibiotic treatment, usually penicillin.",Penicillin G,"Sores, rash, fever, swollen lymph nodes"
Human Immunodeficiency Virus,"A virus that attacks the body's immune system, potentially leading to AIDS.",Antiretroviral therapy (ART).,"Tenofovir, emtricitabine, efavirenz","Fever, weight loss, recurrent infections"
Human Papillomavirus,A viral infection that can cause warts and is linked to various cancers.,Vaccination and regular screening.,"No specific medication, vaccines (Gardasil)","Genital warts, cervical changes"
Meningitis,Inflammation of the protective membranes covering the brain and spinal cord.,Prompt antibiotic or antiviral treatment.,"Antibiotics, antivirals","Severe headache, fever, stiff neck"
Encephalitis,"Inflammation of the brain, often due to infection.",Antiviral treatment and supportive care.,"Acyclovir, corticosteroids","Fever, headache, confusion, seizures"
Lupus,An autoimmune disease where the body's immune system attacks its own tissues.,Immunosuppressive drugs and anti-inflammatory medications.,"Hydroxychloroquine, prednisone","Fatigue, joint pain, rash"
Rheumatoid Arthritis,An autoimmune disorder causing inflammation and deformity of the joints.,Disease-modifying antirheumatic drugs (DMARDs) and biologics.,"Methotrexate, adalimumab","Joint pain, swelling, stiffness"
Osteoporosis,A condition where bones become weak and brittle.,"Calcium and vitamin D supplements, and medication.","Bisphosphonates, calcitonin","Fractures, loss of height, back pain"
Gout,"A form of arthritis characterized by severe pain, redness, and tenderness in joints.",Anti-inflammatory medications and lifestyle changes.,"NSAIDs, colchicine, allopurinol","Intense joint pain, redness, swelling"
Hypoglycemia,"Low blood sugar levels, which can cause various symptoms and complications.",Immediate intake of fast-acting carbohydrates.,"Glucose tablets, glucagon","Shakiness, sweating, confusion, dizziness"
Hyperglycemia,"High blood sugar levels, often associated with diabetes.",Insulin therapy and blood sugar management.,"Insulin, oral hypoglycemics","Increased thirst, frequent urination, fatigue"
Hypercholesterolemia,"High levels of cholesterol in the blood, increasing the risk of heart disease.",Lifestyle changes and cholesterol-lowering medications.,"Statins, niacin, fibrates","No specific symptoms, detected through blood tests"
Cystic Fibrosis,A genetic disorder affecting the lungs and digestive system.,Airway clearance techniques and medications.,"Ivacaftor, lumacaftor, antibiotics","Persistent cough, frequent lung infections, poor growth"
Sickle Cell Anemia,"A genetic disorder causing red blood cells to assume a sickle shape, leading to blockages and pain.",Pain management and hydration.,"Hydroxyurea, pain relievers, blood transfusions","Pain episodes, fatigue, swelling in hands and feet"
Huntington’s Disease,A progressive brain disorder caused by a defective gene.,"Medications to manage symptoms, supportive care.","Tetrabenazine, antipsychotics","Involuntary movements, cognitive decline, mood swings"
Amyotrophic Lateral Sclerosis ,A progressive nervous system disease that affects nerve cells in the brain and spinal cord.,Supportive care and medications to slow disease progression.,"Riluzole, edaravone","Muscle weakness, difficulty speaking and swallowing"
Epilepsy,A neurological disorder marked by sudden recurrent episodes of sensory disturbance or convulsions.,Antiepileptic drugs and lifestyle modifications.,"Valproate, lamotrigine, levetiracetam","Seizures, temporary confusion, staring spells"
Pancreatitis,Inflammation of the pancreas that can be acute or chronic.,Hospitalization and supportive care.,"Pain relievers, enzymes, fluids","Upper abdominal pain, nausea, vomiting"
Peptic Ulcer Disease,"Sores that develop on the lining of the stomach, small intestine, or esophagus.","Antibiotics for H. pylori infection, acid reducers.","Proton pump inhibitors, antibiotics","Burning stomach pain, bloating, heartburn"
Gallstones,Hardened deposits within the fluid in the gallbladder.,Surgery or nonsurgical removal methods.,"Ursodeoxycholic acid, surgery","Sudden intense pain in the upper right abdomen, nausea"
Diverticulitis,Inflammation or infection of small pouches that can form in the intestines.,Antibiotics and a liquid diet initially.,"Metronidazole, ciprofloxacin","Abdominal pain, fever, digestive changes"
Hemorrhoids,Swollen veins in the lowest part of the rectum and anus.,"Dietary changes, topical treatments, and procedures.","Topical steroids, pain relievers","Itching, discomfort, rectal bleeding"
Kidney Stones,Hard deposits made of minerals and salts that form inside the kidneys.,"Pain relief and hydration; in severe cases, surgery.","Pain relievers, alpha blockers","Severe pain, nausea, frequent urination"
Chronic Kidney Disease,A long-term condition where the kidneys do not work effectively.,Managing underlying conditions and dialysis.,"ACE inhibitors, diuretics, dialysis","Fatigue, swelling, changes in urination"
Acute Kidney Injury,A sudden episode of kidney failure or damage.,Treating the underlying cause and supportive care.,"Fluids, medications to balance blood levels","Decreased urine output, swelling, fatigue"
Hepatitis E,A liver disease caused by the hepatitis E virus.,Supportive care and maintaining good hygiene.,"No specific medication, supportive care","Jaundice, fatigue, nausea"
Liver Cirrhosis,Severe scarring of the liver caused by long-term liver damage.,"Managing underlying cause, lifestyle changes.","Diuretics, beta blockers, lactulose","Fatigue, easy bruising, jaundice"
Malaria,A mosquito-borne infectious disease caused by Plasmodium parasites.,Antimalarial medications and preventive measures.,"Chloroquine, artemisinin-based combination therapies","Fever, chills, headache, muscle aches"
Dengue Fever,A mosquito-borne viral infection causing flu-like symptoms.,Supportive care and pain relief.,"Acetaminophen, fluids","High fever, severe headache, joint and muscle pain"
Zika Virus,A mosquito-borne virus that can cause birth defects.,"Rest, fluids, and supportive care.","No specific medication, supportive care","Fever, rash, joint pain, conjunctivitis"
Chikungunya,A viral disease transmitted by mosquitoes causing joint pain.,"Rest, fluids, and pain relief.","Acetaminophen, fluids","Severe joint pain, fever, rash"
West Nile Virus,"A virus spread by mosquitoes, often asymptomatic but can cause neurological disease.",Supportive care and pain relief.,"No specific medication, supportive care","Fever, headache, body aches, joint pains"
Ebola Virus,A rare and deadly viral disease causing severe bleeding and organ failure.,Supportive care and isolation.,"No specific antiviral, supportive care","Fever, severe headache, muscle pain, bleeding"
Hantavirus,A virus spread by rodents causing severe respiratory issues.,Supportive care and hospitalization.,"No specific antiviral, supportive care","Fever, muscle aches, cough, shortness of breath"
Yellow Fever,A viral disease transmitted by mosquitoes causing fever and jaundice.,Vaccination and supportive care.,"No specific antiviral, supportive care","Fever, headache, jaundice, muscle pain"
Typhoid Fever,A bacterial infection causing high fever and gastrointestinal issues.,Antibiotic treatment and maintaining good hygiene.,"Ciprofloxacin, azithromycin","High fever, stomach pain, headache, loss of appetite"
Leptospirosis,A bacterial disease spread through the urine of infected animals.,Antibiotic treatment.,"Doxycycline, penicillin","Fever, headache, chills, muscle aches"
Tetanus,A serious bacterial infection causing muscle stiffness and spasms.,Vaccination and wound care.,"Tetanus immune globulin, antibiotics","Jaw cramping, muscle stiffness, difficulty swallowing"
Rabies,"A viral disease causing inflammation of the brain, typically fatal once symptoms appear.",Post-exposure prophylaxis (PEP) after potential exposure.,"Rabies vaccine, immune globulin","Fever, headache, excess salivation, muscle spasms"
Anthrax,"A serious infection caused by Bacillus anthracis bacteria, can be contracted through skin, inhalation, or ingestion.",Antibiotic treatment.,"Ciprofloxacin, doxycycline","Skin sores, fever, chills, chest discomfort"
Plague,Bacterial infection transmitted by fleas.,Immediate antibiotic treatment is essential.,Streptomycin,"Fever, chills, swollen lymph nodes"
Cholera,Infection causing severe diarrhea and dehydration.,Rehydration and sanitation improvement.,Oral rehydration salts,"Watery diarrhea, vomiting, muscle cramps"
Leprosy,Chronic bacterial disease affecting skin and nerves.,Long-term antibiotic therapy.,Dapsone,"Skin lesions, nerve damage, muscle weakness"
Hookworm Infection,Parasitic infection from contaminated soil.,Antiparasitic medication and hygiene practices.,Albendazole,"Abdominal pain, anemia, fatigue"
Ringworm,"Fungal infection of the skin, hair, or nails.",Antifungal treatment and hygiene measures.,Terbinafine,"Red, itchy, circular rash"
Scabies,Skin infestation by mites causing intense itching.,Topical or oral scabicide treatment.,Permethrin,"Intense itching, rash, blisters"
Chickenpox,Viral infection causing itchy skin rashes and blisters.,Vaccination and symptomatic relief.,Acyclovir,"Itchy rash, fever, tiredness"
Measles,Highly contagious viral infection with a characteristic rash.,Vaccination and supportive care.,Vitamin A,"Fever, cough, rash, runny nose"
Rubella,Viral infection with a mild rash and fever.,Vaccination and supportive care.,No specific treatment,"Mild fever, rash, swollen lymph nodes"
Mumps,Viral infection affecting the salivary glands.,Vaccination and rest.,Pain relievers,"Swollen salivary glands, fever, headache"
Tonsillitis,"Inflammation of the tonsils, often due to viral or bacterial infection.","Rest, fluids, and possible antibiotic treatment.",Penicillin,"Sore throat, difficulty swallowing, fever"
Sinusitis,"Inflammation of the sinuses, often caused by infection.",Nasal decongestants and possibly antibiotics.,Amoxicillin,"Facial pain, nasal congestion, headache"
Otitis Media,"Middle ear infection, common in children.",Pain relief and possibly antibiotics.,Amoxicillin,"Ear pain, fever, hearing loss"
Conjunctivitis,Inflammation or infection of the outer membrane of the eyeball and the inner eyelid.,Antibacterial or antiviral eye drops.,Polymyxin B,"Red eyes, itching, discharge"
Stye,"Red, painful lump near the edge of the eyelid.",Warm compresses and possible antibiotic ointment.,Erythromycin ointment,"Painful lump on the eyelid, swelling"
Blepharitis,Inflammation of the eyelid margins.,Good eyelid hygiene and possibly antibiotic ointment.,Doxycycline,"Itchy eyelids, redness, crusting"
Keratitis,"Inflammation of the cornea, often due to infection.","Antibacterial, antifungal, or antiviral eye drops.",Ganciclovir,"Eye pain, blurred vision, sensitivity to light"
Cystitis,"Inflammation of the bladder, often due to infection.",Increased fluid intake and possibly antibiotics.,Nitrofurantoin,"Painful urination, frequent urge to urinate"
Prostatitis,"Inflammation of the prostate gland, often due to infection.",Antibiotics and anti-inflammatory medications.,Ciprofloxacin,"Pelvic pain, urinary issues, flu-like symptoms"
Endometriosis,Growth of endometrial tissue outside the uterus.,"Pain relief, hormone therapy, or surgery.",GnRH agonists,"Pelvic pain, menstrual irregularities, infertility"
Polycystic Ovary Syndrome ,Hormonal disorder causing enlarged ovaries with cysts.,Lifestyle changes and hormone therapy.,Metformin,"Irregular periods, excess hair growth, acne"
Menopause,"The end of menstrual cycles, typically occurring in midlife.",Hormone replacement therapy (HRT) and lifestyle changes.,Estradiol,"Hot flashes, night sweats, mood changes"
Pelvic Inflammatory Disease ,Infection of the female reproductive organs.,Antibiotic treatment.,Doxycycline,"Pelvic pain, fever, abnormal vaginal discharge"
Fibroids,Noncancerous growths in the uterus.,"Medication, non-invasive procedures, or surgery.",GnRH agonists,"Heavy menstrual bleeding, pelvic pain, frequent urination"
Endocarditis,Infection of the inner lining of the heart chambers and valves.,Prolonged antibiotic treatment.,Vancomycin,"Fever, chills, heart murmur"
Pericarditis,"Inflammation of the pericardium, the sac surrounding the heart.",Pain relief and anti-inflammatory medications.,Ibuprofen,"Sharp chest pain, fever, weakness"
Myocarditis,"Inflammation of the heart muscle, often due to viral infection.",Rest and medication to manage symptoms.,Beta-blockers,"Chest pain, shortness of breath, fatigue"
Valvular Heart Disease,Damage or defect in one of the four heart valves.,Medication or surgery depending on severity.,ACE inhibitors,"Shortness of breath, fatigue, swollen ankles"
Aortic Aneurysm,Bulge in the wall of the aorta that can burst if untreated.,Monitoring or surgery depending on size.,Beta-blockers,"Back pain, deep pain on the side of the abdomen, pulsating sensation near the navel"
Hypertrophic Cardiomyopathy,"Thickening of the heart muscle, often inherited.","Medication, lifestyle changes, or surgery.",Beta-blockers,"Chest pain, fainting, palpitations"
Arrhythmia,"Irregular heartbeat that can be too fast, too slow, or erratic.","Medication, lifestyle changes, or procedures like pacemaker implantation.",Beta-blockers,"Palpitations, dizziness, shortness of breath"
Myasthenia Gravis,Chronic autoimmune neuromuscular disorder causing weakness in skeletal muscles.,"Medication, therapy, and possible surgery.",Pyridostigmine,"Muscle weakness, drooping eyelids, difficulty swallowing"
Guillain-Barré Syndrome,Rare autoimmune disorder where the immune system attacks the nerves.,Immunoglobulin therapy or plasmapheresis.,Intravenous immunoglobulins (IVIG),"Weakness, tingling in extremities, difficulty breathing"
Systemic Lupus Erythematosus ,Autoimmune disease affecting multiple organs and tissues.,Medication to reduce symptoms and prevent flare-ups.,Hydroxychloroquine,"Fatigue, joint pain, rash, fever"
Sjögren’s Syndrome,Autoimmune disorder affecting the glands that produce moisture.,Medication and eye drops to manage symptoms.,Pilocarpine,"Dry eyes, dry mouth, joint pain"
Vasculitis,"Inflammation of blood vessels, causing changes in vessel walls.",Medication to control inflammation and immune response.,Corticosteroids,"Fever, fatigue, weight loss, muscle and joint pain"
Psoriatic Arthritis,Chronic arthritis associated with psoriasis.,Medication to reduce inflammation and pain.,Methotrexate,"Joint pain, stiffness, swelling, skin rash"
Behçet’s Disease,Rare disorder causing blood vessel inflammation throughout the body.,Medication to manage symptoms and inflammation.,Colchicine,"Mouth sores, eye inflammation, skin rashes"
Dermatomyositis,Inflammatory disease marked by muscle weakness and skin rash.,Medication and physical therapy.,Prednisone,"Muscle weakness, skin rash, difficulty swallowing"
Polymyositis,Inflammatory disease causing muscle weakness.,Medication and physical therapy.,Corticosteroids,"Muscle weakness, difficulty swallowing, fatigue"
Bursitis,Inflammation of the bursae (small sacs of fluid near joints).,"Rest, ice, and anti-inflammatory medications.",Ibuprofen,"Joint pain, swelling, tenderness"
Gout,"Form of arthritis characterized by sudden, severe attacks of pain, redness, and tenderness in joints.",Medication and dietary changes.,Allopurinol,"Intense joint pain, redness, swelling"
Paget’s Disease of Bone,Chronic disorder that can result in enlarged and misshapen bones.,Medication to regulate bone growth.,Bisphosphonates,"Bone pain, deformities, fractures"
Chronic Fatigue Syndrome,Long-term condition causing extreme tiredness.,Symptomatic treatment and lifestyle changes.,Pain relievers,"Severe fatigue, muscle pain, sleep disturbances"
Fibromyalgia,Chronic condition causing widespread pain and fatigue.,"Medication, physical therapy, and stress management.",Duloxetine,"Widespread pain, fatigue, sleep problems"
Rickets,"Softening and weakening of bones in children, usually due to vitamin D deficiency.",Vitamin D and calcium supplements.,Vitamin D,"Delayed growth, pain in spine, pelvis, and legs"
Osteomalacia,"Softening of the bones, often due to severe vitamin D deficiency.",Vitamin D and calcium supplements.,Vitamin D,"Bone pain, muscle weakness, fractures"
Acromegaly,Hormonal disorder that develops when the pituitary gland produces too much growth hormone.,"Surgery, medication, or radiation therapy.",Octreotide,"Enlarged hands and feet, facial changes, joint pain"
Cushing’s Syndrome,Condition caused by prolonged exposure to high levels of cortisol.,"Reducing corticosteroid use, surgery, or medication.",Ketoconazole,"Weight gain, thinning skin, high blood pressure"
Addison’s Disease,Adrenal glands produce too little cortisol and aldosterone.,Hormone replacement therapy.,Hydrocortisone,"Fatigue, muscle weakness, weight loss"
